exiobase name,exiobase unit,ecoinvent name,ecoinvent category,ecoinvent subcategory,ecoinvent unit,scale factor,new flow,comment
"Domestic Extraction Used - Primary Crops - Cashew nuts, with shell",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cashewapple,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cassava,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cassava leaves,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Castor oil seed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cauliflower,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cereals nec,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cherries,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Chestnuts,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Chick peas,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Chicory Roots,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Chillies and peppers, dry",kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Chillies and peppers, green",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cinnamon,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Citrus Fruit nec,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cloves,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cocoa Beans,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Coconuts,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Coffee, Green",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Coir,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cotton Lint,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cottonseed,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Cow peas, dry",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cranberries,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Cucumbers and Gherkins,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Currants,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Dates,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Eggplants,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Fibre Crops nes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Figs,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Flax Fibre and Tow,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Fonio,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Fruit Fresh Nes,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Fruit, tropical fresh nes",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Garlic,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Ginger,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Gooseberries,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Grapefruit and Pomelos,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Grapes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Groundnuts in Shell,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Hazelnuts,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Hemp Fibre and Tow,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Hempseed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Hops,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Jojoba Seeds,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Jute and Jute-like Fibres,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Kapok Fibre,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Karite Nuts,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Kiwi Fruit,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Kolanuts,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Leeks and other Alliac. Veg.,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Leguminous vegetables, nes",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Lemons and Limes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Lentils,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Lettuce,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Linseed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Lupins,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Maize,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Maize, green",kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Mangoes, mangosteens, guavas",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Mate,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Melonseed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Millet,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Mixed Grain,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Mushrooms,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Mustard Seed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Natural Rubber,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Nutmeg, mace and cardamoms",kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Nuts, nes",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Oats,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Oil Palm Fruit,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Oilseeds nec,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Okra,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Olives,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Onions,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Onions, dry",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Oranges,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Other Bastfibres,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Other melons,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Papayas,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Peaches and Nectarines,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Pears,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Peas, Green",kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Peas, dry",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Pepper,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Peppermint,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Persimmons,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Pigeon peas,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Pineapples,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Pistachios,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Plantains,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Plums,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Pome fruit, nes",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Poppy Seed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Potatoes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Pulses nec,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Pumpkins, Squash, Gourds",kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Pyrethrum, Dried Flowers",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Quinces,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Quinoa,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Ramie,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Rapeseed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Raspberries,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Rice,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Roots and Tubers, nes",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Rye,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Safflower Seed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Sesame Seed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Sisal,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Sorghum,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Sour Cherries,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Soybeans,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Spices nec,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Spinach,kt,,mass,,,1,1,
"Domestic Extraction Used - Primary Crops - Stone Fruit nec,",kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Strawberries,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - String beans,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Sugar Beets,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Sugar Cane,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Sugar Crops nes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Sunflower Seed,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Sweet Potatoes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Tallowtree Seeds,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Tang. Mand Clement. Satsma,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Taro,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Tea,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Tea nes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Tobacco Leaves,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Tomatoes,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Triticale,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Tung Nuts,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Vanilla,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Vegetables Fresh nec,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Vetches,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Walnuts,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Watermelons,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Wheat,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Yams,kt,,mass,,,1,1,
Domestic Extraction Used - Primary Crops - Yautia,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Rice,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Wheat,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Barley,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Buckwheat,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Canary Seed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Maize,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Millet,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Mixed Grain,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Oats,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Rye,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Sorghum,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Triticale,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cereals nec,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Fonio,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Quinoa,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Potatoes,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Sweet Potatoes,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Yams,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Lentils,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Lupins,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Vetches,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Pulses nec,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Olives,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Artichokes,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Asparagus,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cabbages,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Carrots,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cauliflower,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Chillies and peppers, green",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cucumbers and Gherkins,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Eggplants,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Garlic,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Leeks and other Alliac. Veg.,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Lettuce,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Mushrooms,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Peas, Green",kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Pumpkins, Squash, Gourds",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Spinach,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Tomatoes,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Vegetables Fresh nec,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Apples,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Apricots,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Avocados,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Blueberries,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Carobs,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cherries,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Currants,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Dates,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Figs,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Gooseberries,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Grapefruit and Pomelos,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Grapes,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Kiwi Fruit,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Lemons and Limes,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Oranges,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Peaches and Nectarines,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Pears,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Persimmons,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Pineapples,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Plums,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Quinces,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Raspberries,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Sour Cherries,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Strawberries,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Tang. Mand Clement. Satsma,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Berries nec,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Citrus Fruit nec,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Stone Fruit nec,",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Almonds,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Chestnuts,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Hazelnuts,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Pistachios,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Walnuts,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cassava,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Roots and Tubers, nes",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Taro,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Yautia,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Bambara beans,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Beans, dry",kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Beans, green",kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Broad beans, horse beans, dry",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Chick peas,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Cow peas, dry",kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Peas, dry",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Pigeon peas,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - String beans,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Coconuts,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Okra,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Onions,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Onions, dry",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Other melons,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Watermelons,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Bananas,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cashewapple,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cranberries,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Fruit Fresh Nes,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Fruit, tropical fresh nes",kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Mangoes, mangosteens, guavas",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Papayas,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Plantains,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Arecanuts,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Brazil nuts, with shell",kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Cashew nuts, with shell",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Kolanuts,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Nuts, nes",kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Leguminous vegetables, nes",kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Maize, green",kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Pome fruit, nes",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cassava leaves,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Groundnuts in Shell,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Hempseed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Linseed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Melonseed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Mustard Seed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Poppy Seed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Rapeseed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Safflower Seed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Sesame Seed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Soybeans,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Sunflower Seed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Oilseeds nec,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Oil Palm Fruit,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Castor oil seed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Karite Nuts,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Tung Nuts,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Jojoba Seeds,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Tallowtree Seeds,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cottonseed,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Sugar Beets,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Sugar Cane,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Sugar Crops nes,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cotton Lint,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Flax Fibre and Tow,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Hemp Fibre and Tow,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Abaca,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Agave Fibres nes,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Coir,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Fibre Crops nes,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Ramie,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Sisal,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Kapok Fibre,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Jute and Jute-like Fibres,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Other Bastfibres,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Anise, Badian, Fennel",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Chicory Roots,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Coffee, Green",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Hops,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Peppermint,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Pyrethrum, Dried Flowers",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Tea,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Spices nec,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cocoa Beans,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Mate,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Tobacco Leaves,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Natural Rubber,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cinnamon,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Cloves,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Ginger,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Nutmeg, mace and cardamoms",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Vanilla,kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Pepper,kt,,mass,,,1,1,
"Unused Domestic Extraction - Primary Crops - Chillies and peppers, dry",kt,,mass,,,1,1,
Unused Domestic Extraction - Primary Crops - Tea nes,kt,,mass,,,1,1,
Unused Domestic Extraction - Crop residues - Feed,kt,,mass,,,1,1,
Unused Domestic Extraction - Crop residues - Straw,kt,,mass,,,1,1,
Unused Domestic Extraction - Fishery - Aquatic plants,kt,,mass,,,1,1,
Unused Domestic Extraction - Fishery - Inland waters fish catch,kt,,mass,,,1,1,
Unused Domestic Extraction - Fishery - Marine fish catch,kt,,mass,,,1,1,
Unused Domestic Extraction - Fishery - Other (e.g. Aquatic mammals),kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Alfalfa for Forage and Silage,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Beets for Fodder,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Cabbage for Fodder,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Carrots for Fodder,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Clover for Forage and Silage,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Forage Products nec,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Grasses nec for Forage and Silage,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Green Oilseeds for Fodder,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Leguminous nec for forage and Silage,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Maize for Forage and Silage,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Other grasses,kt,,mass,,,1,1,
"Unused Domestic Extraction - Fodder crops - Rye Grass, Forage and Silage",kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Sorghum for Forage and Silage,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Swedes for Fodder,kt,,mass,,,1,1,
Unused Domestic Extraction - Fodder crops - Turnips for Fodder,kt,,mass,,,1,1,
"Unused Domestic Extraction - Fodder crops - Vegetables and Roots, Fodder",kt,,mass,,,1,1,
Unused Domestic Extraction - Forestry - Coniferous wood - Industrial roundwood,kt,,mass,,,1,1,
Unused Domestic Extraction - Forestry - Coniferous wood - Wood fuel,kt,,mass,,,1,1,
Unused Domestic Extraction - Forestry - Kapok Fruit,kt,,mass,,,1,1,
Unused Domestic Extraction - Forestry - Natural Gums,kt,,mass,,,1,1,
Unused Domestic Extraction - Forestry - Non-coniferous wood - Industrial roundwood,kt,,mass,,,1,1,
Unused Domestic Extraction - Forestry - Non-coniferous wood - Wood fuel,kt,,mass,,,1,1,
Unused Domestic Extraction - Forestry - Raw materials other than wood,kt,,mass,,,1,1,
Unused Domestic Extraction - Fossil Fuels - Anthracite,kt,,mass,,,1,1,
Unused Domestic Extraction - Fossil Fuels - Coking coal,kt,,mass,,,1,1,
Unused Domestic Extraction - Fossil Fuels - Crude oil,kt,,mass,,,1,1,
Unused Domestic Extraction - Fossil Fuels - Lignite/brown coal,kt,,mass,,,1,1,
Unused Domestic Extraction - Fossil Fuels - Natural gas,kt,,mass,,,1,1,
Unused Domestic Extraction - Fossil Fuels - Natural gas liquids,kt,,mass,,,1,1,
Unused Domestic Extraction - Fossil Fuels - Other bituminous coal,kt,,mass,,,1,1,
Unused Domestic Extraction - Fossil Fuels - Peat,kt,,mass,,,1,1,
Unused Domestic Extraction - Fossil Fuels - Sub-bituminous coal,kt,,mass,,,1,1,
Unused Domestic Extraction - Grazing,kt,,mass,,,1,1,
Unused Domestic Extraction - Metal Ores - Bauxite and aluminium ores,kt,,mass,,,1,1,
Unused Domestic Extraction - Metal Ores - Copper ores,kt,,mass,,,1,1,
Unused Domestic Extraction - Metal Ores - Gold ores,kt,,mass,,,1,1,
