exiobase name,exiobase unit,ecoinvent name,ecoinvent category,ecoinvent subcategory,ecoinvent unit,scale factor,new flow,comment
N - agriculture - water,kg,Nitrogen,water,,kg,1,0,Could be to surface water
N - waste - water,kg,Nitrogen,water,,kg,1,0,Could be to surface water
N2O - agriculture - air,kg,Dinitrogen monoxide,air,"low population density, long-term",kg,1,0,
N2O - combustion - air,kg,Dinitrogen monoxide,air,,kg,1,0,
NH3 - agriculture - air,kg,Ammonia,air,"low population density, long-term",kg,1,0,
NH3 - combustion - air,kg,Ammonia,air,,kg,1,0,
NH3 - non combustion - N- fertilizer production - air,kg,Ammonia,air,non-urban air or from high stacks,kg,1,0,
NH3 - waste - air,kg,Ammonia,air,,kg,1,0,
Ni - combustion - air,kg,Nickel II,air,,kg,1,0,
Ni - non combustion - Agglomeration plant - pellets - air,kg,Nickel II,air,non-urban air or from high stacks,kg,1,0,
Ni - non combustion - Agglomeration plant - sinter - air,kg,Nickel II,air,non-urban air or from high stacks,kg,1,0,
Ni - non combustion - Glass production - air,kg,Nickel II,air,non-urban air or from high stacks,kg,1,0,
Ni - non combustion - Production of coke oven coke - air,kg,Nickel II,air,non-urban air or from high stacks,kg,1,0,
Ni - non combustion - Production of gascoke - air,kg,Nickel II,air,non-urban air or from high stacks,kg,1,0,
Ni - non combustion - Steel production: basic oxygen furnace - air,kg,Nickel II,air,non-urban air or from high stacks,kg,1,0,
Ni - non combustion - Steel production: electric arc furnace - air,kg,Nickel II,air,non-urban air or from high stacks,kg,1,0,
Ni - non combustion - Steel production: open hearth furnace - air,kg,Nickel II,air,non-urban air or from high stacks,kg,1,0,
NMVOC - combustion - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Beef and veal - air,kg,"NMVOC, non-methane volatile organic compounds",air,"low population density, long-term",kg,1,0,
NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air,kg,"NMVOC, non-methane volatile organic compounds",air,non-urban air or from high stacks,kg,1,0,
NMVOC - non combustion - Decorative paint applicatoin - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Degreasing - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Dry cleaning - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
"NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Extraction/production of (natural) gas - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
